ad_title,organic_video_url,ad_url,ad_unlisted,upload_date,ad_genre,views_count,duration_time,ad_likes,ad_dislikes,ad_cta_link,ad_description,ad_links,count,channel_name,ad_channel_link,ad_channel_subscriber,channel_created_date,total_videos
Here's The Truth,https://www.youtube.com/watch?v=7rAiZR_zasg,https://www.youtube.com/watch?v=j5zebK1xk3M,No,"Sep 15, 2020",People & Blogs,60,0:30,1 ,2 ,https://karenhandel.com/landing/truth-video/?utm_medium=Video&utm_source=RMPreRoll&utm_campaign=Here%27s_TheTruth,,,14,Karen Handel,https://www.youtube.com/channel/UC-EZzHC67iQuqW1mAdZeOgw,205 ,"Mar 15, 2017",4
2020 Best Profile Gauge Tool Saker Contour Gauge,https://www.youtube.com/watch?v=PAktcofve00,https://www.youtube.com/watch?v=n280AKY2dM0,Yes,"Apr 29, 2020",People & Blogs,8461967,1:40,363 ,55 ,https://www.smartsaker.com/pages/saker-contour-gauge-5?gclid=EAIaIQobChMIop7g78Tu6wIVZKyQBB3pXwMHEAEYASAAEgJ9D_D_BwE,"The contour gauge is really an amazing time saving precision tool.

HERE IS THE CONTOUR GAUGE THAT I LIKE:  https://bit.ly/30gM2yk",https://bit.ly/30gM2yk,2,Smart Saker,https://www.youtube.com/channel/UCW9C7iYYaox0ZW0OmLjacmQ,277 ,"Sep 3, 2019",9
Why are you not doing this?  Experian Boost Testimonial,https://www.youtube.com/watch?v=QLvFyx-lR6c,https://www.youtube.com/watch?v=N9i37577RDg,No,"Sep 3, 2020",Education,47730,0:15,0,0,https://www.experian.com/consumer-products/score-boost.html?pc=bch_exp_youtube&cc=bch_exp_12_2149816_282234153_137634441&ref=bch_bst&dclid=&gclid=EAIaIQobChMIoJPtgcXu6wIVBMAOAB0_Mws4EAEYASAAEgIuh_D_BwE,"Experian Boost helped Angel raise his credit scores and discover new ways to save like lower interest rates and a consolidation loan. Could an instant FICO Score boost help you too? These are real people sharing real stories about how Experian Boost is helping them save.

Boost your score: https://www.experian.com/consumer-pro...  
Subscribe to Experian: https://www.youtube.com/experian?sub_... 


Get the latest news: 
Instagram: https://www.instagram.com/experian 
LinkedIn: https://www.linkedin.com/company/expe...  
Facebook: https://www.facebook.com/experian  
Twitter: https://www.twitter.com/experian_US","https://www.experian.com/consumer-pro... ,https://www.youtube.com/experian?sub_... ,https://www.instagram.com/experian ,https://www.linkedin.com/company/expe... ,https://www.facebook.com/experian ,https://www.twitter.com/experian_US",1,Experian,https://www.youtube.com/channel/UCrd9d2_jNpHkfOvZ-IO7XXA,12600,"Dec 3, 2009",640
Video Ad,https://www.youtube.com/watch?v=6JLbVQNS74w,https://www.youtube.com/watch?v=daB5qk3OsSc,Yes,"Sep 3, 2020",People & Blogs,2,0:06,1 ,0,https://www.verizon.com/smartphones/samsung/?cmp=OLV-C-HQ-NON-A-AW-NONE-M&M3.0SamsungBOGO-2V0MC0-MC--GOO-RE-NA-NONE-24362649_837352_276263743_136974818&dcmID=1&utm_medium=OLV&utm_source=GOO&utm_campaign=M&M3.0SamsungBOGO&utm_content=AW&utm_term=RE&dclid=CJj9qpLF7usCFdR3wQodnAELkw,,,80,YouTube Ads 321,https://www.youtube.com/channel/UC1IbMSAihgZZLiRESXkTP_Q,0,"Nov 27, 2018",0
Roll Away Back Pain on the Chirp Wheel+,https://www.youtube.com/watch?v=CdCClhtKH2Q,https://www.youtube.com/watch?v=vwiW3tIIszo,Yes,"Nov 7, 2019",Howto & Style,6685596,2:45,522 ,91 ,https://gochirp.com/?device=c&keyword=&matchtype=&utm_source=adwords&utm_medium=cpc&gclid=EAIaIQobChMIrJT3r8Xu6wIVyLuQBB3x5wN5EAEYASAAEgJ6KfD_BwE,"Order the Chirp Wheel+ at http://tiny.cc/x6b86y and get free delivery on orders over $99. Each wheel is backed by our 60-Day Happy Body Guarantee. 

Subscribe to our channel for more videos!

The Chirp Wheel+ is designed with 22mm of foam padding, and a spinal groove to apply pressure to the muscles along the spine, without putting pressure on the spine itself.

At 5 inches wide, the Chirp Wheel+ is specially designed to fit between the shoulder blades, and release tension on the muscles surrounding the spine.

The 60-Day Happy Back Guarantee means that if you don't love the product within the first 60 days of use, then you can send it back for a full refund!",http://tiny.cc/x6b86y,2,Chirp,https://www.youtube.com/channel/UC_31eiiVV3wLGWmaIvR-YQQ,3890,"Nov 17, 2016",41
So Embarrassing,https://www.youtube.com/watch?v=HjKWAyPJBnM,https://www.youtube.com/watch?v=IvvGbKwqXWg,No,"Aug 23, 2019",People & Blogs,59226853,1:00,0,0,https://www.joinhoney.com/page/DR-FashionNikeYellow-Simplified-MoneyGoldTime-US/?utm_source=yout&utm_medium=vid&utm_campaign=YOUT_US_200911_1D_Brand-Buy_General_PolkaSquares-LBH-PriceSaver_60_Broad_Broad_F_18-65_ItsFree_UnlockCoupons_DR-FashionNikeYellow-Simplified-MoneyGoldTime-US&utm_content=DR-FashionNikeYellow-Simplified-MoneyGoldTime-US&from=r,"Honey is a free browser extension that automatically applies coupon codes at over 37,000 online stores. Add Honey for free and start saving today  https://www.joinhoney.com/youtube",https://www.joinhoney.com/youtube,104,Honey,https://www.youtube.com/channel/UCgUAU2Cuf4l_33cQxyeIt1A,58400,"Feb 9, 2017",115
Dr. Scholl's | We HEART Feet (:15),https://www.youtube.com/watch?v=YPQY70z5uKE,https://www.youtube.com/watch?v=cfgzlGREBXo,Yes,"Aug 23, 2020",People & Blogs,1028234,0:15,0,0,https://www.drscholls.com/?utm_source=Pixability&utm_medium=OLV&utm_campaign=Elevated-Enthusiasts_Pixability_DRS2020US_NA_US_M1_VDO_1x1_DSK_dCPM_:15_AB_SS&utm_content=VI_HOME_DSBP_PM-FEET-VARIOUSACTIVITY_WEHEARTFEET-EVERYTHING_X_X_15SEC_ENGLISH&gclid=EAIaIQobChMIqNH11sXu6wIVR-woBR31igNVEAEYASAAEgLmrvD_BwE,"Do you know what feet can do? 

With the right support, they can do anything, because feet are awesome. But you gotta show em some love. And for the last 100 years, no one has loved em like Dr. Scholls.  #WeHeartFeet

Learn more and shop now: https://www.drscholls.com/

SUBSCRIBE TO DR. SCHOLLS ON YOUTUBE: https://www.youtube.com/DrScholls 
Follow Dr. Scholls on FACEBOOK: https://www.facebook.com/DrScholls 
Follow Dr. Scholls on INSTAGRAM: https://www.instagram.com/DrScholls_usa 
Follow Dr. Scholls on TWITTER: https://twitter.com/DrScholls 
Follow Dr. Scholls on PINTEREST: https://www.pinterest.com/DrScholls_usa","#WeHeartFeet ,https://www.drscholls.com/ ,https://www.youtube.com/DrScholls ,https://www.facebook.com/DrScholls ,https://www.instagram.com/DrScholls_usa ,https://twitter.com/DrScholls ,https://www.pinterest.com/DrScholls_usa",24,Dr. Scholl's,https://www.youtube.com/channel/UCV8yVcm7wc76zg_b3sBAP9g,9770,"Aug 6, 2013",66
HS Montage TV15 2020 29 Consult & Exam 072720,https://www.youtube.com/watch?v=GEPz69HZcos,https://www.youtube.com/watch?v=eW7gVIZM74g,Yes,"Jul 27, 2020",Entertainment,23,0:15,0,0,https://www.healthsourcechiro.com/Crabapple/?utm_source=Google&utm_medium=CPM&utm_content=29ConsultAndExam&gclid=EAIaIQobChMIramv78Xu6wIVibuQBB23lQtBEAEYASAAEgLOWfD_BwE,,,78,HealthSource Chiropractic,https://www.youtube.com/channel/UCk6nhBNk99Ro9HH1ayERlVg,148 ,"Oct 17, 2011",93
What is MrBeast's Favorite Browser Extension? | Save Money with Honey,https://www.youtube.com/watch?v=ibCP6jpgy0Q,https://www.youtube.com/watch?v=907Yc5miaWM,No,"Sep 11, 2020",Gaming,1061844,0:51,0,0,https://www.joinhoney.com/page/DR-US-Gaming-Simplified-Yellow-Savings/?utm_source=yout&utm_medium=vid&utm_campaign=YOUT_US_200911_1D_Brand-Buy_Influencer_MrBeastSupercut-A_52_Broad_Broad_M_18-65_ItsFree_UnlockCoupons_DR-US-Gaming-Simplified-Yellow-Savings&utm_content=DR-US-Gaming-Simplified-Yellow-Savings&from=r,"YouTuber MrBeast reveals his favorite browser extension. Hint: It's Honey.

Get Honey  http://joinhoney.co/mq94QQ


Subscribe  http://joinhoney.co/vQxZnH

About Honey:
Honey is a free browser extension that can find deals for you when you shop online. It searches the internet for promo codes and coupon codes and then applies them to your cart at check-out on over 30,000 sites. Honeys already found over $1 billion in savings, has earned over 100,000 5-star reviews in the Google Chrome Store, and has over 17 million members.","http://joinhoney.co/mq94QQ ,http://joinhoney.co/vQxZnH",41,Honey,https://www.youtube.com/channel/UCgUAU2Cuf4l_33cQxyeIt1A,58400,"Feb 9, 2017",115
MrBeast Explains How Honey Works in 49 Seconds | Save Money with Honey,https://www.youtube.com/watch?v=g6k6q-GRMno,https://www.youtube.com/watch?v=aR6B3MmlwME,Yes,"Sep 8, 2020",Gaming,266730,0:48,0,0,https://www.joinhoney.com/page/DR-US-Gaming-Simplified-Yellow-Savings/?utm_source=yout&utm_medium=vid&utm_campaign=YOUT_US_200911_1D_Brand-Buy_Influencer_MrBeastSupercut-B_49_Broad_Broad_M_18-65_ItsFree_UnlockCoupons_DR-US-Gaming-Simplified-Yellow-Savings&utm_content=DR-US-Gaming-Simplified-Yellow-Savings&from=r,"MrBeast explains how Honey could help you save hundreds of dollars.

Get Honey  http://joinhoney.co/mq94QQ


Subscribe  http://joinhoney.co/vQxZnH

About Honey:
Honey is a free browser extension that can find deals for you when you shop online. It searches the internet for promo codes and coupon codes and then applies them to your cart at check-out on over 30,000 sites. Honeys already found over $1 billion in savings, has earned over 100,000 5-star reviews in the Google Chrome Store, and has over 17 million members.","http://joinhoney.co/mq94QQ ,http://joinhoney.co/vQxZnH",5,Honey,https://www.youtube.com/channel/UCgUAU2Cuf4l_33cQxyeIt1A,58400,"Feb 9, 2017",115
2020 Toyota Camry | See It To Believe It,https://www.youtube.com/watch?v=R0jsjBhLTx8,https://www.youtube.com/watch?v=ITAO_nwWt6Y,No,"Jan 7, 2020",Autos & Vehicles,614766,0:17,4 ,3 ,https://explore.setbuyatoyota.com/camry/?cid=M_SET_2020_GM_Youtube_Google_Core_Video_GM_ProspectingRetention_NA_1x1_SS1x1CrossDev_N_NA&gclid=EAIaIQobChMI1uvEj8ju6wIV_bGQBB1SVQvkEAEYASAAEgISLfD_BwE,"This ain't your mama's mid-size sedan. Every inch of the 2020 Toyota Camry was designed to thrill.

To learn more about the 2020 Camry and its features, visit https://explore.setbuyatoyota.com/camry/",https://explore.setbuyatoyota.com/camry/,11,Local Toyota Dealers,https://www.youtube.com/channel/UCziLsdVG7SU5CBSlS9eKumg,2440,"Jan 27, 2012",35
Unbox Savings with Linus Tech Tips | Shop with Honey,https://www.youtube.com/watch?v=2aACrNZGvro,https://www.youtube.com/watch?v=42uo5sX0iqY,Yes,"Jul 29, 2020",Science & Technology,2692463,0:54,0,0,https://www.joinhoney.com/page/DR-US-Evergreen-Simplified-Widget-Yellow/?utm_source=yout&utm_medium=vid&utm_campaign=YOUT_US_200911_1D_Brand-Buy_Influencer_Linus-MysteryBox-B_38_Broad_Broad_M_18-65_ItsFree_UnlockCoupons_DR-US-Evergreen-Simplified-Widget-Yellow&utm_content=DR-US-Evergreen-Simplified-Widget-Yellow&from=r,"What's inside the mystery box? Find out as YouTuber Linus explains how Honey searches for coupon codes at checkout on over 30,000 sites.
Get Honey  http://joinhoney.co/mq94QQ


Subscribe  http://joinhoney.co/vQxZnH

Watch More  http://joinhoney.co/SrJdXx

About Honey:
Honey is a free browser extension that can find deals for you when you shop online. It searches the internet for promo codes and coupon codes and then applies them to your cart at check-out on over 30,000 sites. Honeys already found over $1 billion in savings, has earned over 100,000 5-star reviews in the Google Chrome Store, and has over 17 million members.","http://joinhoney.co/mq94QQ ,http://joinhoney.co/vQxZnH ,http://joinhoney.co/SrJdXx",47,Honey,https://www.youtube.com/channel/UCgUAU2Cuf4l_33cQxyeIt1A,58400,"Feb 9, 2017",115
